Hamg	HeroArchMage
efdr	faerie dragon
efon	Treant
ehip	Hippogryph
ehpr	Hippogryph Rider
emtg	Mountain Giant
esen	Huntress
espv	spirit of vengeance
even	vengeance
ewsp	Wisp
eaoe	AncientofLore
eaom	AncientofWar
eaow	AncientofWind
eate	AltarofElders
eden	Ancient of Wonders
edob	HuntersHall
edos	ChimaeraRoost
egol	EntangledGoldMine
emow	MoonWell
eshy	nightelf shipyard
etoa	TreeofAges
etoe	TreeofEternity
etol	TreeofLife
etrp	Ancient Protector
Ucrl	HeroCryptLord
Udea	HeroDeathKnight
Udre	HeroDreadLord
Ulic	HeroLich
uabo	Abomination
uaco	Acolyte
uban	Banshee
ubsp	destroyer
ucrm	CryptFiendMorph
ucry	CryptFiend
ucs1	carrion scarab level 1
ucs2	carrion scarab level 2
ucs3	carrion scarab level 3
ucsB	carrion scarab level 2 -burrowed
ucsC	carrion scarab level 3 -burrowed
ufro	FrostWyrm
ugar	Gargoyle
ugho	Ghoul
ugrm	GargoyleMorphed
uloc	locust
umtw	MeatWagon
unec	Necromancer
uobs	Obsidian Statue
uplg	PlagueWard
ushd	Shade
uske	SkeletonWarrior
uskm	Skeletal Mage
uubs	undead battleship
uaod	AltarofDarkness
ubon	Boneyard
ugol	Haunted Mine
ugrv	Graveyard
unp1	Halls of the Dead
unp2	Black Citadel
unpl	Necropolis
usap	SacrificialPit
usep	Crypt
ushp	undead shipyard
uslh	Slaughterhouse
utod	TempleoftheDamned
utom	Tomb of Relics
uzg1	Spirit Tower
uzg2	Frost Tower
uzig	Ziggurat
Nbrn	HeroBansheeRanger
Nbst	Beastmaster
Nngs	HeroNagaSeaWitch
Npbm	HeroPandarenBrewmaster
Nplh	neutral pit lord
ndr1	DarkMinion1
ndr2	DarkMinion2
ndr3	DarkMinion3
ngz1	grizzly bear 1
ngz2	grizzly bear 2
ngz3	grizzly bear 3
ngzc	misha 1
ngzd	misha 2
ngza	misha 3
ngz4	misha 4
npn1	Fire pandaren split
npn2	Wind pandaren split
npn3	Earth pandaren split
npn4	Fire pandaren split2
npn5	Wind pandaren split2
npn6	Earth pandaren split2
nsw1	spirit beast level 1
nsw2	spirit beast level 2
nsw3	spirit beast level 3
ncat	Demolisher Draenei
nqb1	quillbeast 1
nqb2	quillbeast 2
nqb3	quillbeast 3
nqb4	quillbeast 4
nwe1	war eagle 1
nwe2	war eagle 2
nwe3	war eagle 3
nhyc	Naga Dragon Turtle
nmyr	naga myrmidon
nmys	naga myrmidon submerged
nnmg	naga mur'gul reaver
nnrg	naga royal guard
nnrs	naga royal guard submerged
nnsu	naga siren
nnsw	naga siren
nwgs	naga coutl
nsbs	naga snap dragon submerged
nsnp	naga snap dragon
nadk	blue drake
nadr	blue dragon
nadw	blue dragon whelp
nahy	ancient hydra
nanb	barbed arachnathid
nanm	barbed arachnathid(merc)
nanc	crystal arachnathid
nane	arachanthid earth-borer
nano	arachnathid overlord
nanw	arachnathid warrior
narg	battle golem
nass	assassin
nbal	doom guard
nban	bandit
nbda	blue dragonspawn apprentice
nbdk	black drake
nbdm	blue dragonspawn meddler
nbdo	blue dragonspawn overseer
nbdr	black dragon whelp
nbds	blue dragonspawn sorceror
nbdw	blue dragonspawn warrior
nbld	bandit lord
nbnb	barbed arachnathid burrowed
nbot	transport ship
nbrg	brigand
nbwm	black dragon
nbzd	bronze dragon
nbzk	bronze drake
nbzw	bronze dragon whelp
ncea	CentaurArcher
ncen	Centaur outrunner
ncer	centaur drudge
ncfs	watery minion cliffrunner
ncim	Centaur impaler
ncks	centaur sorceror
ncnk	centaur khan
ndqn	succubus
ndqp	maiden of pain
ndqs	queen of suffering
ndqt	vile temptress
ndqv	vile tormentor
ndrv	revenant of the depths
ndtb	dark troll berserker
ndth	dark troll high priest
ndtp	dark troll shadow priest
ndtr	darkTroll
ndtt	darkTrollTrapper
ndtw	darkTrollwarlord
nehy	elder hydra
nelb	berserk elemental
nele	enraged elemental
nenc	corrupted treant
nenf	enforcer
nenp	poison treant
nepl	plague treant
nerd	eredar diabolist
ners	eredar sorceror
nerw	eredar warlock
nfel	fel stalker
nfgb	bloodfiend (felguard)
nfgo	Forgotten One
nfgt	forgotten one tentacle
nfgu	felguard
nfod	faceless one deathbringer
nfor	faceless one trickster
nfot	faceless one terror
nfov	overlord (felguard)
nfpc	Polar Furbolg Champion
nfpe	Polar Furbolg Elder Shaman
nfpl	Polar Furbolg
nfps	Polar Furbolg Shaman
nfpt	Polar Furbolg Tracker
nfpu	Polar Furbolg Ursa Warrior
nfra	Furbolg Ursa Warrior
nfrb	Furbolg Tracker
nfre	Furbolg Elder Shaman
nfrg	Furbolg Champion
nfrl	Furbolg
nfrp	Furbolg Panda
nfrs	Furbolg Shaman
nfsh	forest troll high priest
nfsp	forest troll shadow priest
nftb	forest troll berserker
nftk	Forest Troll Warlord
nftr	ForestTroll
nftt	ForestTrollTrapper
ngdk	Green Drake
nggr	granite golem
ngh1	ghost
ngh2	wraith
ngir	goblin shredder
nglm	goblin land mine
ngna	Gnoll Poacher
ngnb	gnoll brute
ngno	Gnoll Robber
ngns	Gnoll Assassin
ngnv	Gnoll Overseer
ngnw	gnoll warden
ngrd	green dragon
ngrk	mud golem
ngrw	Green Dragon Whelp
ngsp	GoblinSapper
ngst	rock golem
nhar	Harpy Scout
nhdc	deceiver
nhfp	fallen priest
nhhr	heretic
nhrh	harpy hag
nhrq	harpy queen
nhrr	harpy rogue
nhrw	harpy witch
nhyd	hydra
nhyh	hydra hatchling
nina	infernal automaton
ninc	infernal contraption
ninf	Infernal
ninm	infernal machine
nith	ice troll high priest
nitp	ice troll priest
nitr	IceTroll
nits	ice troll berserker
nitt	ice troll trapper
nitw	ice troll warlord
njgb	Enranged Jungle Stalker
njga	Elder Jungle Stalker
njg1	Jungle Stalker
nkob	Kobold
nkog	Kobold Geomancer
nkol	kobold taskmaster
nkot	kobold tunneler
nlds	makrura deep seer
nlkl	makrura tidal lord
nlpd	makrura pool dweller
nlpr	makrura prawn
nlps	makrura prawn summoned
nlrv	deeplord revenant
nlsn	makrura snapper
nltc	makrura tide caller
nltl	lightning lizard
nlur	Monster Lure ward
nmam	Mammoth
nmbg	mur'gul blood-gill
nmcf	mur'gul cliffrunner
nmdr	Dire Mammoth
nmfs	murloc flesheater
nmgd	magnataur destroyer
nmgr	magnataur reaver
nmgw	magnataur warrior
nmit	Icetusk Mammoth
nmmu	murloc mutant
nmpg	murloc plaguebearer
nmrl	murloc tiderunner
nmrm	murloc nightcrawler
nmrr	murloc huntsman
nmrv	mur'gul reaver
nmsc	mur'gul shadowcaster
nmsn	mur'gul snarecaster
nmtw	mur'gul tidewarrior
nndk	nether drake
nndr	nether dragon
nnht	nether dragon hatchling
nnwa	nerubian warrior
nnwl	nerubian webspinner
nnwq	nerubian queen
nnwr	nerubian seer
nnws	nerubian spider lord
noga	Stonemaul Warchief
nogl	ogre lord
nogm	ogre mauler
nogn	Stonemaul Magi
nogo	Stonemaul Ogre
nogr	Ogre Warrior
nomg	ogre magi
nowb	wildkin
nowe	enraged wildkin
nowk	berserk Wildkin
npfl	Fel Beast
npfm	Fel Ravager
nplb	polar bear
nplg	giant polar bear
nqbh	quillboar hunter
nrdk	Red Dragon Whelp
nrdr	Red Drake
nrel	reef elemental
nrog	rogue
nrvd	death revenant
nrvf	fire revenant
nrvi	ice revenant
nrvl	lightning revenant
nrvs	frost revenant
nrwm	Red Dragon
nrzb	razormane brute
nrzg	razormane chieftain
nrzm	razormane medicine man
nrzs	razormane scout
nrzt	quillboar
nsat	Satyr Trickster
nsbm	brood mother
nsc2	spider crab 2
nsc3	spider crab 3
nscb	spider crab
nsel	sea elemental
nsgb	sea giant behemoth
nsgg	siege golem
nsgh	sea giant hunter
nsgn	sea giant
nsgt	giant spider
nska	skeletal archer
nske	SkeletonWarrior
nskf	burning archer
nskg	giant SkeletonWarrior
nskm	skeletal marksman
nsko	skeletal orc
nslf	sludge flinger
nslh	salamander hatchling
nsll	salamander lord
nslm	sludge minion
nsln	sludge monstrosity
nslr	salamander
nslv	salamander vizier
nsns	watery minion snarecaster
nsoc	skeletal orc champion
nsog	skeletal orc grunt
nspb	black spider
nspd	spiderling
nspg	green spider
nspp	spirit pig
nspr	spider
nsqa	ancient sasquatch
nsqe	elder sasquatch
nsqo	sasquatch oracle
nsqt	sasquatch
nsra	stormreaver apprentice
nsrh	stormreaver hermit
nsrn	stormreaver necrolyte
nsrv	revenant of the seas
nsrw	stormreaver warlock
nssp	spitting spider
nsth	satyr hellcaller
nstl	satyr soulstealer
nsts	satyr shadowdancer
nstw	storm wyrm
nsty	Satyr
nthl	thunder lizard
ntka	tuskarr spearman
ntkc	tuskarr chieftain
ntkf	tuskarr fighter
ntkh	tuskarr healer
ntks	tuskarr sorceror
ntkt	tuskarr trapper
ntkw	tuskarr warrior
ntrd	dragon turtle
ntrg	gargantuan sea turtle
ntrh	sea turtle hatchling
ntrs	sea turtle
ntrt	giant sea turtle
ntrv	revenant of the tides
ntws	watery minion tidewarrior
nubk	unbroken darkhunter
nubr	unbroken rager
nubw	unbroken darkweaver
nvde	elder voidwalker
nvdg	greater voidwalker
nvdl	lesser voidwalker
nvdw	voidwalker
nwen	Wendigo
nwiz	apprentice wizard
nwld	dire wolf
nwlg	giant wolf
nwlt	timber wolf
nwna	ancient wendigo
nwnr	elder wendigo
nwns	Wendigo shaman
nwrg	war golem
nws1	dragon hawk
nwwd	white dire wolf
nwwf	white wolf
nwwg	giant white wolf
nwzd	dark wizard
nwzg	renegade wizard
nwzr	rogue wizard
nzep	GoblinZeppelin
nzom	Zombie
nchp	Chaplain
nhym	hydromancer
ntor	tornado
nalb	Albatross
ncrb	Crab
nder	deer
ndog	Dog
ndwm	Dune Worm
nfbr	Felboar
nhmc	Hermit Crab
now2	owl 2
now3	owl 3
nowl	owl
npig	Pig
npng	Penguin
npnw	Penguin, water
nrat	Rat
nsea	Seal
nsha	Amphibious Sheep
nshe	Sheep
nshf	Flying Sheep
nshw	Sheep of the Water!!!
nskk	Skink
nsno	Snowy Owl
nvil	Villager Man
nvk2	Villager Kid 2
nvl2	Villager Man 2
nvlk	Villager Kid
nvlw	Villager Woman
nvul	Vulture
ncb0	city building
ncb1	city building
ncb2	city building
ncb3	city building
ncb4	city building
ncb5	city building
ncb6	city building
ncb7	city building
ncb8	city building
ncb9	city building
ncba	city building
ncbb	city building
ncbc	city building
ncbd	city building
ncbe	city building
ncbf	city building
ncnt	Centaur Tent
ncop	circle of power
ncp2	circle of power medium
ncp3	circle of power large
nct1	Centaur Tent
nct2	Centaur Tent
ndch	draenei chieftain hut
ndh0	draenei hut 0
ndh1	draenei hut 1
ndh2	draenei haven
ndh3	draenei warrior's hall
ndh4	draenei seer's lodge
ndrg	Dragon Roost green
ndrk	Dragon Roost black
ndro	Dragon Roost outland
ndrr	Dragon Roost red
ndru	Dragon Roost blue
ndrz	Dragon Roost bronze
nfh0	Forest Troll Hut 0
nfh1	Forest Troll Hut 1
nfoh	Fountain of Health
nfr1	Furbolg Hut 1
nfr2	Furbolg Hut 2
ngad	Goblin Ammo Dump
ngme	goblin merchant
ngnh	Gnoll Hut
ngni	Infected Granary
ngol	GoldMine
ngt2	Gnoll Hut
ngwr	grain warehouse
nhns	harpy nest
nmer	MercenaryCamp L
nmg0	Mur'gul Hut 0
nmg1	Mur'gul Hut 1
nmh0	Murloc Hut 0
nmh1	Murloc Hut 1
nmoo	Fountain of Life
nmr0	MercenaryCamp V
nmr2	MercenaryCamp F
nmr3	MercenaryCamp W
nmr4	MercenaryCamp B
nmr5	MercenaryCamp A
nmr6	MercenaryCamp C
nmr7	MercenaryCamp N
nmr8	MercenaryCamp Y
nmr9	MercenaryCamp X
nmra	MercenaryCamp D
nmrb	MercenaryCamp G
nmrc	MercenaryCamp Z
nmrd	MercenaryCamp I
nmre	MercenaryCamp O
nmrf	MercenaryCamp K
nmrk	Marketplace
nnzg	nerubian ziggurat
nshp	Goblin Shipyard
ntav	Tavern
nten	Tent
nth0	Ice Troll Hut 0
nth1	Ice Troll Hut 1
ntn2	Tent
ntnt	Tauren Tent
ntt2	Tauren Tent
nwgt	WayGate
Nman	mannoroth
Ecen	cenarius
Eevi	evil illidan
Eevm	evil illidan demon form
Efur	furion
Eidm	illidan demon form
Eill	illidan
Eilm	illidanmorphed
Ekgg	HeroKeeperoftheGrove ghost
Emfr	Mal'furion
Emns	Mal'furion no stag
Etyr	Tyrande
Ewrd	Maiev
Hant	antonidus
Hapm	Admiral Proudmoore
Harf	arthas w/ frostmourne
Hart	arthas
Hdgo	Dagren the Orcslayer
Hhkl	Halahk the Lifebringer
Hjai	jaina
Hkal	Kael
Hlgr	Lord Garithos
Hmbr	muradin bronzebeard
Hmgd	Magroth the Defender
Hpb1	Paladin Boss 1
Hpb2	Paladin Boss 2
Huth	uther
Hvsh	Lady Vashj
Hvwd	sylvanus windrunner
Nbbc	blackrock blademaster
Nklj	Kiljaeden
Nkjx	Kiljaeden - cinematic only
Nmag	Magtheridon
Npld	pit lord
Nsjs	Sinjo Stormstout
Ocbh	cairne bloodhoof
Ocb2	cairne bloodhoof (war3x)
Odrt	Drek'Thar
Ogld	Gul'dan
Ogrh	grom hellscream
Opgh	possessed grom hellscream
Orex	Rexxar
Orkn	Rokhan
Osam	Samuro
Otcc	cairne bloodhoof cinematic
Othr	thrall
Uanb	anub'arak
Ubal	balnazzar
Uclc	kelthuzadlich cinematic
Udth	dethecus
Uear	evil arthas
Uktl	kelthuzadlich
Umal	malganis
Usyl	Evil Sylvanas
Utic	tichondrius
Uvar	varimathras
Uvng	vengyr
Uwar	archimonde
Hgam	ghostly archmage
Naka	Akama
eilw	illidan wagon
enec	night elf courier
ensh	Naisha
eshd	shandris
etrs	night elf transport ship
hbew	blood elf wagon
hcth	the captain
hhdl	riderless horse
hhes	high elven swordsman
hrdh	pack horse
nbee	blood elf engineer
nbel	blood elf lieutenant
nbsp	battleship
nchg	chaos grunt
nchr	ChaosWolfRider
nchw	ChaosWarlock
nckb	Chaos Kodo Beast
ncpn	Chaos Peon
ndmu	dalaran mutant
ndrd	draenei darkslayer
ndrf	draenei guardian
ndrh	draenei harbinger
ndrj	dalaran reject
ndrm	draenei disciple
ndrp	draenei protector
ndrs	draenei seer
ndrw	draenei watcher
ndrl	draenei laborer
ndsa	draenei salamander
ndrn	Draeni Vindicator
ndrt	Draeni Stalker
negz	engineer gazlowe
nemi	emissary
nfgl	flesh golem
ngbl	goblin blaster
nhea	high elven archer
nhef	high elven female
nhem	high elven male
nhew	blood elf worker
njks	jailor kassan
nmdm	medivh morphed
nmed	medivh
nmpe	naga peon
nmsh	misha the bear
nser	searinox
nspc	support column
nssn	night elf assassin
nthr	tharifas
nw2w	War2Warlock
nwat	watcher
odkt	Drak'Thul
ogrk	Gar'thok
ojgn	actual orc juggernaut unit
omtg	mathog
onzg	nazgrel
oosc	riderless kodo beast
oswy	spirit wyvern
ovlj	vol'jin
owar	orc warchief
ownr	wyvern
uabc	Abomination cinematic
uarb	air barge
ubdd	undead azurelore
ubdr	azurelore
ubot	undead transport ship
udes	undead frigate
uktg	kelthuzad ghost
uktn	kelthuzadnecro
uswb	sylvanus banshee
hprt	portal unit
nzlc	cinematic lich king
haro	Arcane Observatory
nbfl	Fountain of Blood
nbsm	book of summoning pedestal
nbt1	boulder tower
nbt2	boulder tower upgraded
nbwd	barrow den
ncap	corrupted Ancient Protector
ncaw	AncientofWar
ncmw	corrupted MoonWell
ncta	corrupted treeofAges
ncte	corrupted treeofEternity
nctl	corrupted treeofLife
ndfl	Defiled Fountain of Life
ndgt	dalaran guard tower
ndke	dark portal (southeast)
ndkw	dark portal (southwest)
ndmg	demon gate
ndrb	Dragon Building
ndt1	cold tower
ndt2	cold tower upgraded
nef0	elven farm
nef1	elven farm
nef2	elven farm
nef3	elven farm
nef4	elven farm
nef5	elven farm
nef6	elven farm
nef7	elven farm
nefm	elven farm
negf	elven guard fire tower
negm	elven guard magic tower
negt	elven guard tower
net1	energy tower
net2	energy tower upgraded
nfnp	purple fountain
nfrm	frostmourne pedestal
nfrt	fruit stand
nft1	flame tower
nft2	flame tower upgraded
nfv0	elven fishing village
nfv1	elven fishing village
nfv2	elven fishing village
nfv3	elven fishing village
nfv4	elven fishing village
ngob	gemstone obelisk
nhcn	horn of cenarius pedestal
nheb	High Elf Barracks
nico	icecrown obelisk
nitb	treasure box
nmgv	magic vault
nnad	altar of the depths - naga altar
nnfm	coral bed - naga farm
nnsa	shrine of azshara - naga caster barracks
nnsg	spawning grounds - naga barracks
nntg	tidal guardian - naga tower
nntt	temple of tides - naga town hall
npgf	pig farm
npgr	power generator
nshr	shrine
ntt1	death tower
ntx2	death tower upgraded
nvr0	elven fishing village
nvr1	elven fishing village
nvr2	elven fishing village
nwc1	wyvern cage 1
nwc2	wyvern cage 2
ocbw	Chaos OrcBurrow
nzin	zone indicator
nbse	bindstone southeast
nbsw	bindstone southwest
zcso	chaos space orc
zhyd	hydralisk
zjug	orc juggernaut
zmar	Marine
zshv	shoveler
zsmc	sammy cube
zzrg	zergling
