SoundName,FileNames,DirectoryBase,Volume,Pitch,PitchVariance,Priority,Channel,Flags,MinDistance,MaxDistance,DistanceCutoff,EAXFlags,InBeta,version
BloodElfWorkerPissed,"BloodElfEngineerPissed2.wav,BloodElfEngineerPissed3.wav",Units\Critters\BloodElfPeasant\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,0,1
BloodElfWorkerYesAttack,BloodElfEngineerYesAttack1.wav,Units\Critters\BloodElfPeasant\,127,1,0.01,1000,2,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,0,1
BloodElfWorkerYes,"BloodElfEngineerYes2.wav,BloodElfEngineerYes3.wav,BloodElfEngineerYes4.wav,BloodElfEngineerYes5.wav",Units\Critters\BloodElfPeasant\,127,1,0.01,1000,3,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,0,1
BloodElfWorkerReady,BloodElfEngineerReady1.wav,Units\Critters\BloodElfPeasant\,127,1,0.01,1000,4,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,0,1
BloodElfWorkerWarcry,BloodElfEngineerWarcry1.wav,Units\Critters\BloodElfPeasant\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,0,1
CaptainWhat,"CaptainWhat1.wav,CaptainWhat2.wav,CaptainWhat3.wav",Units\Human\TheCaptain\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,0,0
CaptainPissed,"CaptainPissed1.wav,CaptainPissed2.wav,CaptainPissed3.wav",Units\Human\TheCaptain\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,0,0
CaptainYesAttack,CaptainYesAttack1.wav,Units\Human\TheCaptain\,127,1,0.01,1000,2,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,0,0
CaptainYes,"CaptainYes1.wav,CaptainYes2.wav,CaptainYes3.wav",Units\Human\TheCaptain\,127,1,0.01,1000,3,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,0,0
CaptainWarcry,CaptainWarcry1.wav,Units\Human\TheCaptain\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,0,0
FootmanWhat,"FootmanWhat1.wav,FootmanWhat2.wav,FootmanWhat3.wav,FootmanWhat4.wav",Units\Human\Footman\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,1,0
FootmanPissed,"FootmanPissed1.wav,FootmanPissed2.wav,FootmanPissed3.wav,FootmanPissed4.wav",Units\Human\Footman\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,1,0
FootmanYesAttack,"FootmanYesAttack1.wav,FootmanYesAttack2.wav,FootmanYesAttack3.wav",Units\Human\Footman\,127,1,0.01,1000,2,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,1,0
FootmanYes,"FootmanYes1.wav,FootmanYes2.wav,FootmanYes3.wav,FootmanYes4.wav",Units\Human\Footman\,127,1,0.01,1000,3,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,1,0
FootmanReady,FootmanReady1.wav,Units\Human\Footman\,127,1,0.01,1000,4,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,1,0
FootmanWarcry,FootmanWarcry1.wav,Units\Human\Footman\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,1,0
GarithosWhat,"GarithosWhat1.wav,GarithosWhat2.wav,GarithosWhat3.wav,GarithosWhat4.wav",Units\Creeps\LordGarithos\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
GarithosPissed,"GarithosPissed1.wav,GarithosPissed2.wav,GarithosPissed3.wav,GarithosPissed4.wav,GarithosPissed5.wav",Units\Creeps\LordGarithos\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
GarithosYesAttack,"GarithosYesAttack1.wav,GarithosYesAttack2.wav,GarithosYesAttack3.wav",Units\Creeps\LordGarithos\,127,1,0.01,1000,2,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
GarithosYes,"GarithosYes1.wav,GarithosYes2.wav,GarithosYes3.wav,GarithosYes4.wav,GarithosYes5.wav",Units\Creeps\LordGarithos\,127,1,0.01,1000,3,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
GarithosReady,GarithosReady1.wav,Units\Creeps\LordGarithos\,127,1,0.01,1000,4,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
GarithosWarcry,GarithosWarcry1.wav,Units\Creeps\LordGarithos\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
GryphonRiderWhat,"GryphonRiderWhat1.wav,GryphonRiderWhat2.wav,GryphonRiderWhat3.wav,GryphonRiderWhat4.wav,GryphonRiderWhat5.wav",Units\Human\GryphonRider\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,1,0
GryphonRiderPissed,"GryphonRiderPissed1.wav,GryphonRiderPissed2.wav,GryphonRiderPissed3.wav,GryphonRiderPissed5.wav",Units\Human\GryphonRider\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,1,0
GryphonRiderYesAttack,"GryphonRiderYesAttack1.wav,GryphonRiderYesAttack2.wav,GryphonRiderYesAttack3.wav",Units\Human\GryphonRider\,127,1,0.01,1000,2,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,1,0
GryphonRiderYes,"GryphonRiderYes1.wav,GryphonRiderYes2.wav,GryphonRiderYes3.wav,GryphonRiderYes4.wav,GryphonRiderYes5.wav",Units\Human\GryphonRider\,127,1,0.01,1000,3,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,1,0
GryphonRiderReady,GryphonRiderReady1.wav,Units\Human\GryphonRider\,127,1,0.01,1000,4,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,1,0
GryphonRiderWarcry,GryphonRiderWarcry1.wav,Units\Human\GryphonRider\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,1,0
GyrocopterWhat,"GyrocopterWhat1.wav,GyrocopterWhat2.wav,GyrocopterWhat3.wav,GyrocopterWhat4.wav,GyrocopterWhat5.wav",Units\Human\Gyrocopter\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,1,0
GyrocopterPissed,"GyrocopterPissed1.wav,GyrocopterPissed2.wav,GyrocopterPissed3.wav,GyrocopterPissed4.wav,GyrocopterPissed5.wav,GyrocopterPissed6.wav,GyrocopterPissed7.wav,GyrocopterPissed8.wav",Units\Human\Gyrocopter\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,1,0
GyrocopterYesAttack,"GyrocopterYesAttack1.wav,GyrocopterYesAttack2.wav,GyrocopterYesAttack3.wav,GyrocopterYesAttack4.wav",Units\Human\Gyrocopter\,127,1,0.01,1000,2,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,1,0
GyrocopterYes,"GyrocopterYes1.wav,GyrocopterYes2.wav,GyrocopterYes3.wav,GyrocopterYes4.wav,GyrocopterYes5.wav",Units\Human\Gyrocopter\,127,1,0.01,1000,3,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,1,0
GyrocopterReady,GyrocopterReady1.wav,Units\Human\Gyrocopter\,127,1,0.01,1000,4,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,1,0
GyrocopterWarcry,GyrocopterWarcry1.wav,Units\Human\Gyrocopter\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,1,0
HeroArchMageWhat,"HeroArchMageWhat1.wav,HeroArchMageWhat2.wav,HeroArchMageWhat3.wav,HeroArchMageWhat4.wav",Units\Human\HeroArchMage\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroArchMagePissed,"HeroArchMagePissed1.wav,HeroArchMagePissed2.wav,HeroArchMagePissed3.wav,HeroArchMagePissed4.wav",Units\Human\HeroArchMage\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroArchMageYesAttack,"HeroArchMageYesAttack1.wav,HeroArchMageYesAttack2.wav,HeroArchMageYesAttack3.wav",Units\Human\HeroArchMage\,127,1,0.01,1000,2,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroArchMageYes,"HeroArchMageYes1.wav,HeroArchMageYes2.wav,HeroArchMageYes3.wav,HeroArchMageYes4.wav",Units\Human\HeroArchMage\,127,1,0.01,1000,3,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroArchMageReady,HeroArchMageReady1.wav,Units\Human\HeroArchMage\,127,1,0.01,1000,4,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroArchMageWarcry,HeroArchMageWarcry1.wav,Units\Human\HeroArchMage\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
BloodElfDragonHawkWhat,"DragonHawkWhat1.wav,DragonHawkWhat2.wav,DragonHawkWhat3.wav,DragonHawkWhat4.wav,DragonHawkWhat5.wav",Units\Human\BloodElfDragonHawk\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,1
BloodElfDragonHawkPissed,"DragonHawkPissed1.wav,DragonHawkPissed2.wav,DragonHawkPissed3.wav,DragonHawkPissed4.wav,DragonHawkPissed5.wav,DragonHawkPissed6.wav,DragonHawkPissed7.wav,DragonHawkPissed8.wav",Units\Human\BloodElfDragonHawk\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,1
BloodElfDragonHawkYesAttack,"DragonHawkYesAttack1.wav,DragonHawkYesAttack2.wav,DragonHawkYesAttack3.wav,DragonHawkYesAttack4.wav,DragonHawkYesAttack5.wav",Units\Human\BloodElfDragonHawk\,127,1,0.01,1000,2,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,1
BloodElfDragonHawkYes,"DragonHawkYes1.wav,DragonHawkYes2.wav,DragonHawkYes3.wav,DragonHawkYes4.wav",Units\Human\BloodElfDragonHawk\,127,1,0.01,1000,3,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,1
BloodElfDragonHawkReady,DragonHawkReady1.wav,Units\Human\BloodElfDragonHawk\,127,1,0.01,1000,4,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,1
BloodElfDragonHawkWarcry,DragonHawkWarcry1.wav,Units\Human\BloodElfDragonHawk\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,1
BloodElfSorcerorWhat,"BloodElfMageWhat1.wav,BloodElfMageWhat2.wav,BloodElfMageWhat3.wav,BloodElfMageWhat4.wav,BloodElfMageWhat5.wav",Units\Human\HeroBloodElf\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,1
BloodElfSorcerorPissed,"BloodElfMagePissed1.wav,BloodElfMagePissed2.wav,BloodElfMagePissed3.wav,BloodElfMagePissed4.wav,BloodElfMagePissed5.wav,BloodElfMagePissed6.wav",Units\Human\HeroBloodElf\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,1
BloodElfSorcerorYesAttack,"BloodElfMageYesAttack1.wav,BloodElfMageYesAttack2.wav,BloodElfMageYesAttack3.wav",Units\Human\HeroBloodElf\,127,1,0.01,1000,2,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,1
BloodElfSorcerorYes,"BloodElfMageYes1.wav,BloodElfMageYes2.wav,BloodElfMageYes3.wav,BloodElfMageYes4.wav,BloodElfMageYes5.wav",Units\Human\HeroBloodElf\,127,1,0.01,1000,3,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,1
BloodElfSorcerorReady,BloodElfMageReady1.wav,Units\Human\HeroBloodElf\,127,1,0.01,1000,4,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,1
BloodElfSorcerorWarcry,BloodElfMageWarcry1.wav,Units\Human\HeroBloodElf\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,1
HeroMountainKingWhat,"HeroMountainKingWhat1.wav,HeroMountainKingWhat2.wav,HeroMountainKingWhat3.wav,HeroMountainKingWhat4.wav",Units\Human\HeroMountainKing\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroMountainKingPissed,"HeroMountainKingPissed1.wav,HeroMountainKingPissed2.wav,HeroMountainKingPissed3.wav,HeroMountainKingPissed4.wav,HeroMountainKingPissed5.wav,HeroMountainKingPissed6.wav,HeroMountainKingPissed7.wav",Units\Human\HeroMountainKing\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroMountainKingYesAttack,"HeroMountainKingYesAttack1.wav,HeroMountainKingYesAttack2.wav,HeroMountainKingYesAttack3.wav,HeroMountainKingYesAttack4.wav",Units\Human\HeroMountainKing\,127,1,0.01,1000,2,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroMountainKingYes,"HeroMountainKingYes1.wav,HeroMountainKingYes2.wav,HeroMountainKingYes3.wav,HeroMountainKingYes4.wav",Units\Human\HeroMountainKing\,127,1,0.01,1000,3,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroMountainKingReady,HeroMountainKingReady1.wav,Units\Human\HeroMountainKing\,127,1,0.01,1000,4,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroMountainKingWarcry,HeroMountainKingWarcry1.wav,Units\Human\HeroMountainKing\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroAvatarMountainKingWhat,"HeroMountainKingWhat1.wav,HeroMountainKingWhat2.wav,HeroMountainKingWhat3.wav,HeroMountainKingWhat4.wav",Units\Human\HeroMountainKing\,127,0.9,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroAvatarMountainKingPissed,"HeroMountainKingPissed1.wav,HeroMountainKingPissed2.wav,HeroMountainKingPissed3.wav,HeroMountainKingPissed4.wav,HeroMountainKingPissed5.wav,HeroMountainKingPissed6.wav,HeroMountainKingPissed7.wav",Units\Human\HeroMountainKing\,127,0.9,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroAvatarMountainKingYesAttack,"HeroMountainKingYesAttack1.wav,HeroMountainKingYesAttack2.wav,HeroMountainKingYesAttack3.wav,HeroMountainKingYesAttack4.wav",Units\Human\HeroMountainKing\,127,0.9,0.01,1000,2,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroAvatarMountainKingYes,"HeroMountainKingYes1.wav,HeroMountainKingYes2.wav,HeroMountainKingYes3.wav,HeroMountainKingYes4.wav",Units\Human\HeroMountainKing\,127,0.9,0.01,1000,3,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroAvatarMountainKingReady,HeroMountainKingReady1.wav,Units\Human\HeroMountainKing\,127,0.9,0.01,1000,4,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroAvatarMountainKingWarcry,HeroMountainKingWarcry1.wav,Units\Human\HeroMountainKing\,127,0.9,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroPaladinWhat,"HeroPaladinWhat1.wav,HeroPaladinWhat2.wav,HeroPaladinWhat3.wav,HeroPaladinWhat4.wav",Units\Human\HeroPaladin\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroPaladinPissed,"HeroPaladinPissed1.wav,HeroPaladinPissed2.wav,HeroPaladinPissed3.wav,HeroPaladinPissed4.wav,HeroPaladinPissed5.wav,HeroPaladinPissed6.wav",Units\Human\HeroPaladin\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroPaladinYesAttack,"HeroPaladinYesAttack1.wav,HeroPaladinYesAttack2.wav,HeroPaladinYesAttack3.wav",Units\Human\HeroPaladin\,127,1,0.01,1000,2,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroPaladinYes,"HeroPaladinYes1.wav,HeroPaladinYes2.wav,HeroPaladinYes3.wav,HeroPaladinYes4.wav",Units\Human\HeroPaladin\,127,1,0.01,1000,3,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroPaladinReady,HeroPaladinReady1.wav,Units\Human\HeroPaladin\,127,1,0.01,1000,4,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroPaladinWarcry,HeroPaladinWarcry1.wav,Units\Human\HeroPaladin\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
ProudmooreWhat,"HeroPaladinWhat1.wav,HeroPaladinWhat3.wav,HeroPaladinWhat4.wav",Units\Human\HeroPaladin\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
ProudmoorePissed,"HeroPaladinPissed3.wav,HeroPaladinPissed4.wav,HeroPaladinPissed5.wav,HeroPaladinPissed6.wav",Units\Human\HeroPaladin\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
ProudmooreYesAttack,"HeroPaladinYesAttack1.wav,HeroPaladinYesAttack2.wav",Units\Human\HeroPaladin\,127,1,0.01,1000,2,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
ProudmooreYes,"HeroPaladinYes1.wav,HeroPaladinYes2.wav,HeroPaladinYes3.wav,HeroPaladinYes4.wav",Units\Human\HeroPaladin\,127,1,0.01,1000,3,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
ProudmooreReady,HeroPaladinWhat2.wav,Units\Human\HeroPaladin\,127,1,0.01,1000,4,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
ProudmooreWarcry,HeroPaladinYesAttack3.wav,Units\Human\HeroPaladin\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
HeroRangerWhat,"HeroRangerWhat1.wav,HeroRangerWhat2.wav,HeroRangerWhat3.wav,HeroRangerWhat4.wav,HeroRangerWhat5.wav",Units\Human\HeroRanger\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,1,0
