alias	code	comments	version	useInEditor	hero	item	sort	race	checkDep	levels	reqLevel
AUau	AUau	Death Knight - Unholy Aura	0	1	1	0	hero	undead	1	3	1
AEev	AEev	Demon Hunter - Evasion	0	1	1	0	hero	nightelf	1	3	1
AEim	AEim	Demon Hunter - Immolation	0	1	1	0	hero	nightelf	1	3	1
AEmb	AEmb	Demon Hunter - Mana Burn	0	1	1	0	hero	nightelf	1	3	1
AEme	AEme	Demon Hunter - Metamorphosis	0	1	1	0	hero	nightelf	1	1	6
AUsl	AUsl	Dreadlord - Sleep	0	1	1	0	hero	undead	1	3	1
AUav	AUav	Dreadlord - Vampiric Aura	0	1	1	0	hero	undead	1	3	1
AUcs	AUcs	Dreadlord - Carrion Swarm	0	1	1	0	hero	undead	1	3	1
AUin	AUin	Dreadlord - Inferno	0	1	1	0	hero	undead	1	1	6
AOcl	AOcl	Farseer - Chain Lightning	0	1	1	0	hero	orc	1	3	1
AOeq	AOeq	Farseer - Earthquake	0	1	1	0	hero	orc	1	1	6
AOfs	AOfs	Farseer - Far Sight	0	1	1	0	hero	orc	1	3	1
AOsf	AOsf	Farseer - Spirit Wolf	0	1	1	0	hero	orc	1	3	1
AEer	AEer	Keeper - Entangling Roots	0	1	1	0	hero	nightelf	1	3	1
AEfn	AEfn	Keeper - Force of Nature	0	1	1	0	hero	nightelf	1	3	1
AEah	AEah	Keeper - Thorns Aura	0	1	1	0	hero	nightelf	1	3	1
AEtq	AEtq	Keeper - Tranquility	0	1	1	0	hero	nightelf	1	1	6
AUdr	AUdr	Lich - Dark Ritual	0	1	1	0	hero	undead	1	3	1
AUdd	AUdd	Lich - Death and Decay	0	1	1	0	hero	undead	1	1	6
AUfa	AUfa	Lich - Frost Armor	0	1	1	0	hero	undead	1	3	1
AUfu	AUfu	Lich - Frost Armor (Autocast)	0	1	1	0	hero	undead	1	3	1
AUfn	AUfn	Lich - Frost Nova	0	1	1	0	hero	undead	1	3	1
AHav	AHav	Mountain King - Avatar	0	1	1	0	hero	human	1	1	6
AHbh	AHbh	Mountain King - Bash	0	1	1	0	hero	human	1	3	1
AHtb	AHtb	Mountain King - Thunder Bolt	0	1	1	0	hero	human	1	3	1
AHtc	AHtc	Mountain King - Thunder Clap	0	1	1	0	hero	human	1	3	1
ANfl	ANfl	Sea Witch - Forked Lightning	1	1	1	0	hero	creeps	1	3	1
ANfa	AHca	Sea Witch - Frost Arrows	1	1	1	0	hero	creeps	1	3	1
ANto	ANto	Sea Witch - Tornado	1	1	1	0	hero	creeps	1	1	6
ANms	ANms	Sea Witch - Mana Shield	1	1	1	0	hero	creeps	1	3	1
AHad	AHad	Paladin - Devotion Aura	0	1	1	0	hero	human	1	3	1
AHds	AHds	Paladin - Divine Shield	0	1	1	0	hero	human	1	3	1
AHhb	AHhb	Paladin - Holy Light	0	1	1	0	hero	human	1	3	1
AHre	AHre	Paladin - Resurrection	0	1	1	0	hero	human	1	1	6
ANbf	ANbf	Brewmaster - Breath of Fire	1	1	1	0	hero	creeps	1	3	1
ANdb	ANdb	Brewmaster - Drunken Brawler	1	1	1	0	hero	creeps	1	3	1
ANdh	ANdh	Brewmaster - Drunken Haze	1	1	1	0	hero	creeps	1	3	1
ANef	ANef	Brewmaster - Storm, Earth and Fire	1	1	1	0	hero	creeps	1	1	6
ANdo	ANdo	Pit Lord - Doom	1	1	1	0	hero	creeps	1	1	6
ANht	ANht	Pit Lord - Howl of Terror	1	1	1	0	hero	creeps	1	3	1
ANca	ANca	Pit Lord - Cleaving Attack	1	1	1	0	hero	creeps	1	3	1
ANrf	ANrf	Pit Lord - Rain of Fire	0	1	1	0	hero	creeps	1	3	1
AHfa	AHfa	Priestess - Searing Arrows	0	1	1	0	hero	nightelf	1	3	1
AEst	AEst	Priestess - Scout	0	1	1	0	hero	nightelf	1	3	1
AEsf	AEsf	Priestess - Starfall	0	1	1	0	hero	nightelf	1	1	6
AEar	AEar	Priestess - Trueshot Aura	0	1	1	0	hero	nightelf	1	3	1
AOae	AOae	Chieftain - Endurance Aura	0	1	1	0	hero	orc	1	3	1
AOre	AOre	Chieftain - Reincarnation	0	1	1	0	hero	orc	1	1	6
AOsh	AOsh	Chieftain - Shock Wave	0	1	1	0	hero	orc	1	3	1
AOws	AOws	Chieftain - War Stomp	0	1	1	0	hero	orc	1	3	1
AOhw	AOhw	Shadow Hunter - Healing Wave	1	1	1	0	hero	orc	1	3	1
AOhx	AOhx	Shadow Hunter - Hex	1	1	1	0	hero	orc	1	3	1
AOsw	AOwd	Shadow Hunter - Serpent Ward	1	1	1	0	hero	orc	1	3	1
AOvd	AOvd	Shadow Hunter - Voodooo	1	1	1	0	hero	orc	1	1	6
AEbl	AEbl	Warden - Blink	1	1	1	0	hero	nightelf	1	3	1
AEfk	AEfk	Warden - Fan of Knives	1	1	1	0	hero	nightelf	1	3	1
AEsh	AEsh	Warden - Shadow Strike	1	1	1	0	hero	nightelf	1	3	1
AEsv	AEsv	Warden - Spirit of Vengeance	1	1	1	0	hero	nightelf	1	1	6
											
ANin	ANin	Inferno	0	1	1	0	hero	creeps	1	1	6
SNin	AUin	Tichondrius - Inferno	0	1	1	0	hero	creeps	1	1	6
ANfb	ANfb	Fire Bolt	0	1	1	0	hero	creeps	1	3	1
ANfd	ANfd	Finger of Death	0	1	1	0	hero	creeps	1	1	6
ACfd	ANfd	Finger of Pain	0	1	0	0	unit	creeps	1	1	0
ACf3	ANfd	Finger of Pain (2,1 Button)	0	1	0	0	unit	creeps	1	1	0
ANdp	ANdp	Dark Portal	0	1	1	0	hero	creeps	1	3	1
ANrc	ANrc	Rain of Chaos	0	1	1	0	hero	creeps	1	3	1
ANr3	ANrc	Rain of Chaos(Button 0,2)	0	1	1	0	hero	creeps	1	3	1
AEsb	AEsf	Cenarius - Beefy Starfall	0	1	1	0	hero	creeps	1	1	6
ANrn	AOre	Mannoroth - Reincarnation	0	1	1	0	hero	creeps	1	1	6
ANdc	ANdc	Malganis - Dark Conversion	0	1	1	0	hero	creeps	1	1	6
SNdc	ANdc	Dark Conversion (Fast)	0	1	1	0	hero	creeps	1	1	6
ANsl	ANsl	Malganis - Soul Preservation	0	1	1	0	hero	creeps	1	1	6
AEIl	AEme	Illidan - Metamorphosis	0	1	1	0	hero	creeps	1	1	6
AEvi	AEme	Evil Illidan - Metamorphosis	1	1	1	0	hero	creeps	1	1	6
SNeq	AOeq	Super Earthquake	0	1	1	0	hero	creeps	1	1	6
SNdd	AUdd	Super Death and Decay	0	1	1	0	hero	creeps	1	1	6
ANmo	ANmo	Monsoon	1	1	1	0	hero	creeps	1	3	1
AEpa	AEpa	Poison Arrows	0	0	1	0	hero	creeps	1	3	1
ANwm	ANwm	Watery Minion	1	1	1	0	hero	creeps	1	3	1
AHca	AHca	Cold Arrows	0	1	1	0	hero	creeps	1	3	1
											
ANbr	ANbr	Battle Roar	1	1	1	0	hero	creeps	1	4	1
Arsg	AOsf	Rexxar - Summon Bear	1	1	1	0	hero	creeps	1	4	1
Aamk	Aamk	Attribute Modifier Skill	1	1	1	0	hero	creeps	1	4	1
Arsq	ANsq	Rexxar - Summon Quilbeast	1	1	1	0	hero	creeps	1	4	1
Arsp	ANst	Rexxar - Stampede	1	1	1	0	hero	creeps	1	2	6
ANsb	AHtb	Rexxar - Storm Bolt	1	1	1	0	hero	creeps	1	4	1
ANhw	AOhw	Rokhan - Healing Wave	1	1	1	0	hero	orc	1	4	1
Arsw	AOwd	Rokhan - Serpent Ward	1	1	1	0	hero	orc	1	4	1
ANhx	AOhx	Rokhan - Hex	1	1	1	0	hero	orc	1	4	1
AOls	AUls	Rokhan - Voodoo Spirits	1	1	1	0	hero	orc	1	2	6
ANcf	ANbf	Chen - Breath of Fire	1	1	1	0	hero	creeps	1	4	1
Acdb	ANdb	Chen- Drunken Brawler	1	1	1	0	hero	creeps	1	4	1
Acdh	ANdh	Chen - Drunken Haze	1	1	1	0	hero	creeps	1	4	1
Acef	ANef	Chen - Storm, Earth and Fire	1	1	1	0	hero	creeps	1	2	6
AOr2	AOae	Cairne - Endurance Aura	0	1	1	0	hero	orc	1	4	1
AOr3	AOre	Cairne - Reincarnation	0	1	1	0	hero	orc	1	2	6
AOs2	AOsh	Cairne - Shock Wave	0	1	1	0	hero	orc	1	4	1
AOw2	AOws	Cairne- War Stomp	0	1	1	0	hero	orc	1	4	1
											
ANcl	ANcl	Illidan - Channel	1	1	1	0	hero	creeps	1	3	1
Aadm	Aadm	Abolish Magic	0	1	0	0	unit	nightelf	1	1	0
Andm	Aadm	Abolish Magic(naga)	0	1	0	0	unit	naga	1	1	0
ACdm	Aadm	Abolish Magic (Creep)	0	1	0	0	unit	creeps	0	1	0
ACd2	Aadm	Abolish Magic (Creep, 1,2 pos)	0	1	0	0	unit	creeps	0	1	0
Aabs	Aabs	Absorb Mana	1	1	0	0	unit	undead	1	1	0
Aaha	Aaha	Acolyte Harvest	0	1	0	0	unit	undead	1	1	0
ANav	AHav	Avatar(Garithos)	1	1	1	0	hero	other	1	1	6
Aalr	Aalr	Alarm	0	0	0	0	unit	other	1	1	0
Aall	Aall	Allied Building	1	1	0	0	unit	other	1	1	0
Aast	Aast	Ancestral Spirit	1	1	0	0	unit	orc	1	1	0
ACad	ACad	Animate Dead (creep)	0	1	0	0	unit	creeps	0	1	0
Aams	Aams	Anti-magic Shield	0	1	0	0	unit	undead	1	1	0
ACam	Aams	Anti-magic Shield (creep)	0	1	0	0	unit	creeps	0	1	0
Aatk	Aatk	Attack	0	0	0	0	unit	other	1	0	0
ACba	AHab	Aura - Brilliance (creep)	0	1	0	0	unit	creeps	0	1	0
ACac	AOac	Aura - Command (Creep)	0	1	0	0	unit	creeps	0	1	0
ACav	AHad	Aura - Devotion (Creep)	0	1	0	0	unit	creeps	0	1	0
SCae	AOae	Aura - Endurance (Creep)	0	1	0	0	unit	creeps	0	1	0
Aap1	Aapl	Aura - Plague (Abomination)	0	1	0	0	unit	undead	1	1	0
Aap2	Aapl	Aura - Plague (Plague Ward)	0	1	0	0	unit	undead	1	1	0
Aap3	Aapl	Aura - Plague (Creep)	0	1	0	0	unit	creeps	0	1	0
Aap4	Aapl	Aura - Plague (Creep gfx)	0	1	0	0	unit	creeps	0	1	0
Aoar	Aoar	Aura - Regeneration (Ward)	0	1	0	0	unit	orc	1	1	0
Aabr	Aabr	Aura - Regeneration (Statue)	0	1	0	0	unit	undead	1	1	0
Aasl	Aasl	Aura - Slow	1	1	0	0	unit	naga	0	1	0
ACat	AEar	Aura - Trueshot (Creep)	0	1	0	0	unit	creeps	0	1	0
Aakb	Aakb	Aura - War Drums	0	1	0	0	unit	orc	1	1	0
Aave	Aave	Avenger Form	1	1	0	0	unit	undead	1	1	0
Aawa	Aawa	Awaken	0	1	0	0	unit	other	1	1	0
Abof	Abof	Balls of Fire	1	1	0	0	unit	orc	1	1	0
ACbn	AHbn	Banish(Creep)	1	1	0	0	hero	creeps	1	1	0
ACbh	AHbh	Bash (creep)	0	1	0	0	unit	creeps	0	1	0
ANbh	AHbh	Bash (Beastmaster Bear)	0	1	0	0	unit	creeps	0	1	0
ANb2	AHbh	Bash (maul , SP Bear, level 3)	0	1	0	0	unit	creeps	0	1	0
Abtl	Abtl	Battlestations	0	1	0	0	unit	orc	0	1	0
Sbtl	Abtl	Battlestations (Chaos)	0	1	0	0	unit	orc	0	1	0
Abrf	Abrf	Bearform	0	1	0	0	unit	nightelf	1	1	0
Absk	Absk	Beserk	1	1	0	0	unit	orc	1	1	0
Sbsk	Acha	Berserker Upgrade	1	1	0	0	unit	orc	1	1	0
ACbk	ANba	Black Arrow (melee, creep)	1	1	0	0	unit	creeps	1	1	0
Abds	Abli	Blight Dispel (Small)	0	1	0	0	unit	other	1	1	0
Abdl	Abli	Blight Dispel (Large)	0	1	0	0	unit	other	1	1	0
Abgs	Abli	Blight Growth (Small)	0	1	0	0	unit	undead	1	1	0
Abgl	Abli	Blight Growth (Large)	0	1	0	0	unit	undead	1	1	0
Abgm	Abgm	Blighted Gold mine	0	0	0	0	unit	undead	1	1	0
ANbl	AEbl	Blink(Beastmaster Bear)	1	1	1	0	hero	nightelf	1	3	1
ACbz	AHbz	Blizzard (creep)	0	1	0	0	unit	creeps	0	1	0
Ablo	Ablo	Bloodlust	0	1	0	0	unit	orc	1	1	0
ACbl	Ablo	Bloodlust (Creep)	0	1	0	0	unit	creeps	0	1	0
ACbb	Ablo	Bloodlust (creep, Hotkey B)	0	1	0	0	unit	creeps	0	1	0
ACbc	ANbf	Breath of Fire(Creep)	1	1	0	0	unit	creeps	1	1	0
ACbf	ACbf	Breath of Frost(Creep)	1	1	0	0	unit	creeps	1	1	0
ANbu	ANbu	Build (Neutral)	0	0	0	0	unit	other	1	0	0
AHbu	AHbu	Build (Human)	0	0	0	0	unit	human	1	0	0
AObu	AObu	Build (Orc)	0	0	0	0	unit	orc	1	0	0
AEbu	AEbu	Build (Night Elf)	0	0	0	0	unit	nightelf	1	0	0
AUbu	AUbu	Build (Undead)	0	0	0	0	unit	undead	1	0	0
AGbu	AGbu	Build (Naga)	0	0	0	0	unit	other	1	0	0
Abur	Abur	Burrow	1	1	0	0	unit	undead	1	1	0
Abu2	Abur	Burrow(scarab lvl 2)	1	1	0	0	unit	undead	1	1	0
Abu3	Abur	Burrow(scarab lvl 3)	1	1	0	0	unit	undead	1	1	0
Abu5	Abur	Burrow(Barbed Arachnathid)	1	1	0	0	unit	creeps	1	1	0
Abdt	Abdt	Burrow Detection (Flyers)	1	1	0	0	unit	other	1	1	0
Acan	Acan	Cannibalize	0	1	0	0	unit	undead	1	1	0
Acn2	Acan	Cannibalize (Abomination)	0	1	0	0	unit	undead	1	1	0
ACcn	Acan	Cannibalize (creep)	0	1	0	0	unit	creeps	0	1	0
Abun	Abun	Cargo Hold (Burrow)	0	1	0	0	unit	orc	1	1	0
Advc	Advc	Cargo Hold (Devour)	0	0	0	0	unit	orc	1	1	0
Sch2	Amtc	Cargo Hold (Meat Wagon)	0	1	0	0	unit	undead	1	1	0
Sch5	Acar	Cargo Hold (Ship)	0	1	0	0	unit	other	1	1	0
Sch4	Acar	Cargo Hold (Tank)	0	0	0	0	unit	human	1	1	0
Sch3	Acar	Cargo Hold (Transport)	0	1	0	0	unit	other	1	1	0
Aenc	Aenc	Cargo Hold (Gold Mine)	0	0	0	0	unit	nightelf	1	1	0
Achd	Achd	Cargo Hold Death	0	1	0	0	unit	other	1	1	0
ACca	AUcs	Carrion Swarm (creep)	0	1	0	0	unit	creeps	0	1	0
ACcv	AUcs	Crushing Wave	1	1	0	0	unit	creeps	0	1	0
ACc2	AUcs	Crushing Wave (Dragon Turtle)	1	1	0	0	unit	creeps	0	1	0
ACc3	AUcs	Crushing Wave (Lesser)	1	1	0	0	unit	creeps	0	1	0
ACcl	AOcl	Chain Lightning (creep)	0	1	0	0	unit	creeps	0	1	0
Ache	AIdc	Chain Dispel	1	1	0	0	unit	creeps	0	1	0
Sca1	Acha	Chaos (Grunt)	0	1	0	0	unit	orc	1	1	0
Sca2	Acha	Chaos (Raider)	0	1	0	0	unit	orc	1	1	0
Sca3	Acha	Chaos (Shaman)	0	1	0	0	unit	orc	1	1	0
Sca4	Acha	Chaos (Kodo)	0	1	0	0	unit	orc	1	1	0
Sca5	Acha	Chaos (Peon)	0	1	0	0	unit	orc	1	1	0
Sca6	Acha	Chaos (Grom)	0	1	0	0	unit	orc	1	1	0
Achl	Achl	Chaos Cargo Load	0	1	0	0	unit	orc	1	1	0
ACch	ANch	Charm	1	1	0	0	unit	creeps	1	1	0
ACce	ANca	Cleaving Attack (Creep)	1	1	0	0	unit	creeps	1	1	0
Aclf	Aclf	Cloud of Fog	1	1	0	0	unit	human	1	1	0
ACcw	AHca	Cold Arrows (creep)	0	1	0	0	unit	creeps	0	1	0
Acmg	Acmg	Control Magic	1	1	0	0	unit	human	1	1	0
Acpf	Acpf	Corporeal Form	1	1	0	0	unit	orc	1	1	0
Acor	Acor	Corrosive Breath	0	1	0	0	unit	nightelf	1	1	0
Acoa	Acoa	Couple (Archer)	0	1	0	0	unit	nightelf	1	1	0
Acoh	Acoh	Couple (Hippogryph)	0	1	0	0	unit	nightelf	1	1	0
Aco2	Acoi	Couple Instant (Archer)	0	1	0	0	unit	nightelf	1	1	0
Aco3	Acoi	Couple Instant (Hippogryph)	0	1	0	0	unit	nightelf	1	1	0
ACsp	ACsp	Creep Sleep	0	0	0	0	unit	creeps	0	0	0
Acri	Acri	Cripple	0	1	0	0	unit	undead	1	1	0
Scri	Acri	Cripple (Warlock)	0	1	0	0	unit	undead	1	1	0
ACcr	Acri	Cripple (creep)	0	1	0	0	unit	creeps	0	1	0
ACct	AOcr	Critical Strike (creep)	0	1	0	0	unit	creeps	0	1	0
Acrs	Acrs	Curse	0	1	0	0	unit	undead	1	1	0
ACcs	Acrs	Curse (creep)	0	1	0	0	unit	creeps	0	1	0
Acyc	Acyc	Cyclone	0	1	0	0	unit	nightelf	1	1	0
Acny	Acyc	Cyclone (naga)	0	1	0	0	unit	naga	1	1	0
ACcy	Acyc	Cyclone (creep)	0	1	0	0	unit	creeps	0	1	0
SCc1	Acyc	Cyclone (Cenarius)	0	1	0	0	unit	creeps	0	1	0
ACdc	AUdc	Death Coil (creep)	0	1	0	0	unit	creeps	0	1	0
Adda	Adda	Death Damage (sapper)	0	1	0	0	unit	other	1	1	0
Amnx	Adda	Death Damage (mine)	0	1	0	0	unit	other	1	1	0
Amnz	Adda	Death Damage (mine BIG)	0	1	0	0	unit	other	1	1	0
Adec	Adec	Decouple	1	1	0	0	unit	nightelf	1	1	0
Adef	Adef	Defend	0	1	0	0	unit	human	1	1	0
Adt1	Adet	Detect (Sentry Ward)	0	1	0	0	unit	orc	1	1	0
Atru	Atru	Detect (Shade)	0	1	0	0	unit	undead	1	1	0
Adtg	Atru	Detect (general)	0	1	0	0	unit	other	1	1	0
ANtr	Atru	Detect(War Eagle)	0	1	0	0	unit	other	1	1	0
Agyv	Agyv	Detect (Gyrocopter)	0	1	0	0	unit	human	1	1	0
Adts	Adts	Detect (Magic Sentinel)	0	1	0	0	unit	human	1	1	0
Adtn	Adtn	Detonate	0	1	0	0	unit	nightelf	1	1	0
Adev	Adev	Devour	0	1	0	0	unit	orc	1	1	0
ACdv	ACdv	Devour (Dragon Creep)	0	1	0	0	unit	creeps	0	1	0
Advm	Advm	Devour Magic	1	1	0	0	unit	undead	1	1	0
ACde	Advm	Devour Magic(creep)	1	1	0	0	unit	creeps	1	1	0
Adch	Adch	Disenchant(old)	1	1	0	0	unit	orc	1	1	0
Adcn	Adis	Disenchant(new)	1	1	0	0	unit	orc	1	1	0
Adis	Adis	Dispel Magic	0	1	0	0	unit	human	1	1	0
Adsm	Adis	Dispel Magic (creep)	0	1	0	0	unit	creeps	0	1	0
ACds	AHds	Divine Shield (creep)	0	1	0	0	unit	creeps	0	1	0
ACdr	AHdr	Drain Life(Creep)	1	1	0	0	unit	creeps	1	1	0
Adri	Adri	Drop Instant	0	1	0	0	unit	other	1	1	0
Adro	Adro	Drop	0	1	0	0	unit	other	1	1	0
Sdro	Adro	Drop	0	1	0	0	unit	other	1	1	0
Atdp	Atdp	Drop Pilot	0	0	0	0	unit	human	1	1	0
Aeat	Aeat	Eat Tree	0	1	0	0	unit	nightelf	1	1	0
ANen	Aens	Ensnare(Naga)	0	1	0	0	unit	naga	1	1	0
Aens	Aens	Ensnare	0	1	0	0	unit	orc	1	1	0
ACen	Aens	Ensnare (Creep)	0	1	0	0	unit	creeps	0	1	0
Aent	Aent	Entangle	0	1	0	0	unit	nightelf	1	1	0
Aegm	Aegm	Entangled Gold Mine	0	0	0	0	unit	nightelf	1	1	0
Aenr	AEer	Entangling Roots (creep)	0	1	0	0	unit	creeps	0	1	0
Aenw	AEer	Entangling Seaweed	1	1	0	0	unit	creeps	0	1	0
Aetl	Aetl	Ethereal	1	1	0	0	unit	nightelf	1	0	0
Aetf	Aetf	Ethereal Form	1	1	0	0	unit	orc	1	1	0
ACev	AEev	Evasion (creep)	0	1	0	0	unit	creeps	0	1	0
ACes	AEev	Evasion (creep 100%)	0	1	0	0	unit	creeps	0	1	0
Aexh	Aexh	Exhume	1	1	0	0	unit	undead	1	1	0
Afae	Afae	Faerie Fire	0	1	0	0	unit	nightelf	1	1	0
Afa2	Afae	Faerie Fire	1	1	0	0	unit	nightelf	1	1	0
ACff	Afae	Faerie Fire (creep)	0	1	0	0	unit	creeps	0	1	0
Afbk	Afbk	Feedback	1	1	0	0	unit	human	1	1	0
Afbt	Afbk	Feedback(Arcane Tower)	1	1	0	0	unit	human	1	1	0
Afbb	Afbk	Feedback (Spirit Beast)	1	1	0	0	unit	creeps	1	1	0
ACsf	AOsf	Feral Spirit (creep)	0	1	0	0	unit	creeps	0	1	0
ACs9	AOsf	Feral Spirit (creep - pig)	0	1	0	0	unit	creeps	0	1	0
ACs8	AOsf	Feral Spirit (Spirit Beast)	0	1	1	0	hero	creeps	1	3	1
ACs7	AOsf	Feral Spirit (Akama)	0	1	1	0	hero	creeps	1	3	1
Afod	ANfd	Finger of Death	0	1	0	0	unit	creeps	1	1	0
Awfb	ANfb	Fire Bolt (warlock)	0	1	0	0	unit	creeps	1	1	0
ACfb	ANfb	Fire Bolt (creep)	0	1	0	0	unit	creeps	0	1	0
Aflk	Aflk	Flak Cannon	1	1	0	0	unit	human	1	1	0
Afla	Afla	Flare	0	1	0	0	unit	human	1	1	0
ACfs	AHfs	Flame Strike (Creep)	1	1	0	0	unit	creeps	1	1	0
ANfs	AHfs	Flame Strike (Improved Creep)	1	1	0	0	unit	creeps	1	1	0
ACfr	AEfn	Force of Nature (creep)	0	1	0	0	unit	creeps	0	1	0
ACfl	ANfl	Forked Lightning(creep)	1	1	0	0	unit	creeps	1	1	0
Afsh	Afsh	Frag Shards	1	1	0	0	unit	human	1	1	0
Afrz	Afrz	Freezing Breath	0	1	0	0	unit	undead	1	1	0
Afzy	Afzy	Frenzy	1	1	0	0	unit	creeps	0	1	0
ACfa	AUfa	Frost Armor (creep,old)	0	1	0	0	unit	creeps	0	1	0
ACf2	AUfu	Frost Armor (creep,autocast)	0	1	0	0	unit	creeps	0	1	0
ACfu	AUfu	Frost Armor (Autocast, Naga)	1	1	0	0	unit	naga	1	1	0
Afra	Afra	Frost Attack	1	1	0	0	unit	undead	1	1	0
Afrb	Afrb	Frost Breath	0	1	0	0	unit	undead	1	1	0
ACfn	AUfn	Frost Nova (creep)	0	1	0	0	unit	creeps	0	1	0
ACcb	AHtb	Frost Bolt	1	1	0	0	unit	creeps	1	1	0
Agho	Agho	Ghost	0	1	0	0	unit	undead	1	1	0
Aeth	Aeth	Ghost (Visible)	0	1	0	0	unit	undead	1	1	0
Agld	Agld	Gold Mine	0	1	0	0	unit	other	1	1	0
Agra	Agra	Grab Tree	1	1	0	0	unit	nightelf	1	1	0
Agyd	Agyd	Graveyard	0	1	0	0	unit	undead	1	1	0
Agyb	Agyb	Gyrocopter Bombs	0	1	0	0	unit	human	1	1	0
Assk	Assk	Hardened Skin	1	1	0	0	unit	nightelf	1	1	0
Ansk	Assk	Hardened Skin(Naga Turtle)	1	1	0	0	unit	naga	1	1	0
Ahar	Ahar	Harvest	0	1	0	0	unit	other	1	1	0
ANha	Ahar	Harvest (naga)	0	1	0	0	unit	other	1	1	0
Ahrl	Ahrl	Harvest Lumber	0	1	0	0	unit	undead	1	1	0
Ahr3	Ahrl	Harvest Lumber (shredder)	0	1	0	0	unit	creeps	1	1	0
Ahr2	Ahrl	Harvest Lumber (Arch ghouls)	0	1	0	0	unit	creeps	1	1	0
Ahea	Ahea	Heal	0	1	0	0	unit	human	1	1	0
Anhe	Anhe	Heal (Creep Normal)	0	1	0	0	unit	creeps	0	1	0
Anh1	Anhe	Heal (Creep Normal)	0	1	0	0	unit	creeps	0	1	0
Anh2	Anhe	Heal (Creep High)	0	1	0	0	unit	creeps	0	1	0
Ahwd	Ahwd	Healing Ward	0	1	0	0	unit	orc	1	1	0
AChw	Ahwd	Healing Ward (creep)	0	1	0	0	unit	creeps	0	1	0
AChv	AOhw	Healing Wave(Creep)	1	1	0	0	unit	creeps	1	1	0
Ahnl	Aroa	null roar (summoner)	1	1	0	0	unit	naga	0	1	0
AHer	AHer	Hero	0	0	0	0	unit	other	1	0	0
AChx	AOhx	Hex (Creep)	1	1	0	0	unit	creeps	1	1	0
Acht	ANht	Howl of Terror	1	1	0	0	unit	creeps	1	1	0
ACim	AEim	Immolation (creep)	0	1	0	0	unit	creeps	0	1	0
ACmp	AUim	Impale(Creep)	1	1	0	0	unit	creeps	1	1	0
Aimp	Aimp	Impaling Bolt	0	1	0	0	unit	nightelf	1	1	0
Ainf	Ainf	Inner Fire	0	1	0	0	unit	human	1	1	0
ACif	Ainf	Inner Fire (Creep)	0	1	0	0	unit	creeps	0	1	0
Aivs	Aivs	Invisibility	0	1	0	0	unit	human	1	1	0
AInv	AInv	Inventory	0	1	0	0	unit	other	1	1	0
Apak	AInv	Inventory (Pack Mule)	1	1	0	0	unit	orc	1	1	0
Aion	AInv	Inventory(2 slot unit) Orc	1	1	0	0	unit	other	1	1	0
Aihn	AInv	Inventory(2 slot unit) Human	1	1	0	0	unit	other	1	1	0
Aien	AInv	Inventory(2 slot unit) Night Elf	1	1	0	0	unit	other	1	1	0
